date,TB3MS,T10Y2Y,BAA10Y
2015-07-09,0.03,1.72,2.88
2015-07-10,0.03,1.77,2.9
2015-07-13,0.03,1.75,2.88
2015-07-14,0.03,1.75,2.91
2015-07-15,0.03,1.72,2.91
2015-07-16,0.03,1.69,2.88
2015-07-17,0.03,1.66,2.87
2015-07-20,0.03,1.67,2.86
2015-07-21,0.03,1.64,2.87
2015-07-22,0.03,1.58,2.85
2015-07-23,0.03,1.57,2.85
2015-07-24,0.03,1.57,2.87
2015-07-27,0.03,1.55,2.9
2015-07-28,0.03,1.57,2.91
2015-07-29,0.03,1.59,2.9
2015-07-30,0.03,1.56,2.88
2015-07-31,0.03,1.53,2.94
2015-08-01,0.07,1.53,2.94
2015-08-03,0.07,1.48,2.92
2015-08-04,0.07,1.49,2.88
2015-08-05,0.07,1.55,2.9
2015-08-06,0.07,1.52,2.92
2015-08-07,0.07,1.45,2.91
2015-08-10,0.07,1.51,2.93
2015-08-11,0.07,1.47,2.94
2015-08-12,0.07,1.47,2.97
2015-08-13,0.07,1.47,2.98
2015-08-14,0.07,1.47,2.97
2015-08-17,0.07,1.44,2.97
2015-08-18,0.07,1.46,3.01
2015-08-19,0.07,1.45,3.06
2015-08-20,0.07,1.4,3.04
2015-08-21,0.07,1.41,3.1
2015-08-24,0.07,1.42,3.14
2015-08-25,0.07,1.45,3.17
2015-08-26,0.07,1.51,3.2
2015-08-27,0.07,1.5,3.15
2015-08-28,0.07,1.47,3.13
2015-08-31,0.07,1.47,3.15
2015-09-01,0.02,1.47,3.18
2015-09-02,0.02,1.48,3.17
2015-09-03,0.02,1.47,3.17
2015-09-04,0.02,1.42,3.15
2015-09-07,0.02,1.42,3.15
2015-09-08,0.02,1.46,3.16
2015-09-09,0.02,1.46,3.1
2015-09-10,0.02,1.48,3.12
2015-09-11,0.02,1.49,3.11
2015-09-14,0.02,1.45,3.13
2015-09-15,0.02,1.46,3.16
2015-09-16,0.02,1.48,3.15
2015-09-17,0.02,1.51,3.18
2015-09-18,0.02,1.44,3.15
2015-09-21,0.02,1.48,3.19
2015-09-22,0.02,1.45,3.15
2015-09-23,0.02,1.46,3.15
2015-09-24,0.02,1.46,3.16
2015-09-25,0.02,1.47,3.19
2015-09-28,0.02,1.43,3.21
2015-09-29,0.02,1.41,3.26
2015-09-30,0.02,1.42,3.29
2015-10-01,0.02,1.41,3.31
2015-10-02,0.02,1.41,3.34
2015-10-05,0.02,1.46,3.33
2015-10-06,0.02,1.44,3.32
2015-10-07,0.02,1.43,3.27
2015-10-08,0.02,1.47,3.28
2015-10-09,0.02,1.47,3.26
2015-10-12,0.02,1.47,3.26
2015-10-13,0.02,1.42,3.28
2015-10-14,0.02,1.42,3.31
2015-10-15,0.02,1.43,3.29
2015-10-16,0.02,1.43,3.28
2015-10-19,0.02,1.43,3.3
2015-10-20,0.02,1.42,3.29
2015-10-21,0.02,1.4,3.28
2015-10-22,0.02,1.43,3.26
2015-10-23,0.02,1.43,3.23
2015-10-26,0.02,1.41,3.22
2015-10-27,0.02,1.4,3.25
2015-10-28,0.02,1.37,3.2
2015-10-29,0.02,1.44,3.21
2015-10-30,0.02,1.41,3.19
2015-11-01,0.12,1.41,3.19
2015-11-02,0.12,1.43,3.18
2015-11-03,0.12,1.43,3.19
2015-11-04,0.12,1.41,3.16
2015-11-05,0.12,1.41,3.18
